iter	RMSE
348	0.1170730601
349	0.1164197877
350	0.1157014243
351	0.1151477314
352	0.1144147244
353	0.1140401498
354	0.1132746981
355	0.1126387824
356	0.1120459914
357	0.111390037
358	0.1105901113
359	0.1102507933
360	0.1098458095
361	0.109440453
362	0.1090031032
363	0.1085259554
364	0.1081523063
365	0.1078943734
366	0.1072160129
367	0.106461493
368	0.1060095791
369	0.1057849303
370	0.1053730829
371	0.1048806526
372	0.1041227954
373	0.1036014748
374	0.1029477973
375	0.1023269389
376	0.1022252341
377	0.1014988132
378	0.1010281173
379	0.1007927583
380	0.1004025727
381	0.1001325228
382	0.09967814442
383	0.09938046969
384	0.09893538214
385	0.09821988526
386	0.0976368828
387	0.09720008223
388	0.0968935832
389	0.0962006822
390	0.09577178391
391	0.09550868186
392	0.09509526725
393	0.09458493721
394	0.09429075496
395	0.09377789857
396	0.09341065825
397	0.09299320366
398	0.09238762958
399	0.09198111593
400	0.09167389307
401	0.0913966612
402	0.09090988054
403	0.0905914983
404	0.09022518315
405	0.0899147058
406	0.08957439481
407	0.08905967417
408	0.08866829508
409	0.08832327751
410	0.08813655995
411	0.08761062648
412	0.08731830962
413	0.08707093746
414	0.08669341809
415	0.0863521177
416	0.08593924876
417	0.08575758085
418	0.08511450923
419	0.08488281754
420	0.08452851876
421	0.08418390442
422	0.08384761436
423	0.08342841088
424	0.0830404545
425	0.08289218663
426	0.08259887397
427	0.08222039045
428	0.08195085455
429	0.08187974296
430	0.0814494782
431	0.08124561248
432	0.08095033531
433	0.08073187042
434	0.08042634498
435	0.08009009476
436	0.07979043686
437	0.07958587549
438	0.07911444701
439	0.07884555128
440	0.07855339874
441	0.07802757356
442	0.07779109154
443	0.07735263816
444	0.07708760902
445	0.07686469261
446	0.07669075378
447	0.076429708
448	0.07608799708
449	0.07575162254
450	0.07548133624
451	0.07515548615
452	0.07460317876
453	0.07427363354
454	0.07405092101
455	0.07377201434
456	0.07351175463
457	0.07307054879
458	0.07292020162
459	0.07266984042
460	0.07221365635
461	0.07180426664
462	0.07150399534
463	0.07147961787
464	0.07113767865
465	0.07086147739
466	0.070541822
467	0.07029231578
468	0.07012602334
469	0.06975581719
470	0.06921970562
471	0.06916164267
472	0.06891709446
473	0.06859104635
474	0.06857189318
475	0.0683167261
476	0.06812094342
477	0.06778147097
478	0.06750625459
479	0.06746626033
480	0.06729302291
481	0.0670691022
482	0.06681059981
483	0.06679084179
484	0.06661453463
485	0.06633037094
486	0.06617354869
487	0.06598735311
488	0.06585867427
489	0.065637056
490	0.06549325155
491	0.06531735415
492	0.06518440039
493	0.0650622711
494	0.06499731662
495	0.06480635072
496	0.0644933198
497	0.06430736093
498	0.06398367977
499	0.06359088643
